foreign_id,stage_l,discharge_l
WNBGORV05,1204.91,6244.45
WNBGORV05,1205.78,8641.22
WNBGORV05,1206.63,11895
WNBGORV05,1207.19,14420.7
WNBGORV05,1207.72,17058.3
WNBGORV05,1208.21,19698.6
DRYCRK01,809.072,0
DRYCRK01,810.889,43.9314
DRYCRK01,813.228,219.657
DRYCRK01,815.164,439.35
DRYCRK01,816.611,659.007
DRYCRK01,817.28,878.7
DRYCRK01,819.114,1950.54
DRYCRK01,820.151,2859.32
DRYCRK01,821.342,4141.81
DRYCRK01,822.126,5168.02
DRYCRK01,822.854,6250.24
DRYCRK01,823.52,7346.79
DRYCRK02,842.3,0
DRYCRK02,844.593,43.9314
DRYCRK02,847.251,219.657
DRYCRK02,848.533,439.35
DRYCRK02,849.183,659.007
DRYCRK02,849.619,878.7
DRYCRK02,851.033,1950.54
DRYCRK02,851.867,2859.32
DRYCRK02,852.799,4141.81
DRYCRK02,853.422,5168.02
DRYCRK02,854.006,6250.24
DRYCRK02,854.537,7346.79
HOOSRCR01,711.982,0
HOOSRCR01,717.569,57.8454
HOOSRCR01,718.901,289.298
HOOSRCR01,719.629,578.56
HOOSRCR01,720.076,867.858
HOOSRCR01,720.558,1157.12
HOOSRCR01,722.07,2503.53
HOOSRCR01,722.864,3624.87
HOOSRCR01,723.776,5193.62
HOOSRCR01,724.393,6440.51
HOOSRCR01,724.98,7752.28
HOOSRCR01,725.679,9077.74
MRGNCR01,725.246,0
MRGNCR01,727.776,37.151
MRGNCR01,729.613,185.72
MRGNCR01,730.896,371.44
MRGNCR01,731.381,557.159
MRGNCR01,731.703,742.879
MRGNCR01,732.762,1675.05
MRGNCR01,733.35,2474.07
MRGNCR01,733.993,3607.78
MRGNCR01,734.432,4518.65
MRGNCR01,734.852,5480.8
MRGNCR01,735.243,6457.29
OTTERCR01,739.662,0
OTTERCR01,744.396,80.8706
OTTERCR01,746.516,404.424
OTTERCR01,748.123,808.882
OTTERCR01,749.242,1213.31
OTTERCR01,749.925,1617.73
OTTERCR01,751.713,3392.4
OTTERCR01,752.759,4838.5
OTTERCR01,753.967,6840.84
OTTERCR01,754.777,8419.62
OTTERCR01,755.522,10076
OTTERCR01,756.204,11744.2
OTTRCRK01,791.978,0
OTTRCRK01,792.69,79.6346
OTTRCRK01,793.737,398.243
OTTRCRK01,794.76,796.487
OTTRCRK01,795.617,1194.73
OTTRCRK01,796.365,1592.97
OTTRCRK01,798.793,3174.01
OTTRCRK01,800.486,4512.12
OTTRCRK01,802.293,6291.45
OTTRCRK01,802.874,7591.88
OTTRCRK01,803.241,9110.16
OTTRCRK01,803.599,10517.1
